"age","state","q1","q8a","q8b","q8c","q8d","q8e","q8f","q8g","q8h","q19","q20","q25","q25a","q36","q41","q44a","q44b","q44c","q44d","q44g","q44i","q45a","q46","employ","lwp","finan","home2","educ","health"
"25","IA","Very happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,"10",NA,"Fairly closely","Oppose","No","No","Yes","No","Yes","Yes","No",NA,"Full-time","Lived with current spouse before married","No","Rent","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"21","MO","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Not important","Very important but not the most","One of the most important things","Yes","About once a day","500",NA,"Fairly closely","Oppose","Yes","No","No","No","No","Yes","No",NA,"Part-time",NA,"No","Rent","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"41","MO","Pretty happy","Not important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Once a week","20",NA,"Fairly closely","Strongly favor","Yes","Yes","Yes","No","Yes","Yes","No",NA,"Full-time","Lived with both current spouse and someone else",NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"VOL DON'T KNOW/REFUSED","OK","(VOL) Don't know/Refused","Not important","Not important","(VOL) Don't know/Refused","Very important but not the most","Very important but not the most","Somewhat important","Very important but not the most","Not important","Yes","About once a day",NA,NA,"(VOL) Don't know/Refused","(VOL) Don't know/Refused","No","No","No","Yes",NA,NA,"No",NA,"(VOL) Don't know/Refused",NA,NA,NA,"(VOL) Don't know/Refused","(VOL) Don't know/Refused"
"70","KY","Very happy","Somewhat important","Very important but not the most","One of the most important things","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most",NA,NA,"0",NA,"Very closely","(VOL) Don't know/Refused","Yes","No","No",NA,"No","No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"63","IL","Very happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,"0",NA,"Fairly closely","Oppose","Yes","No","Yes","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"90","TX","Pretty happy","(VOL) Don't know/Refused","One of the most important things","Somewhat important","One of the most important things","Somewhat important","(VOL) Don't know/Refused","One of the most important things","One of the most important things",NA,NA,NA,NA,"Very closely","Oppose","No","No","Yes",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"80","MO","Not too happy","Very important but not the most","Very important but not the most","Somewhat important","One of the most important things","Very important but not the most","Not important","Very important but not the most","Somewhat important","No",NA,NA,NA,"Not at all closely","Favor","No","No","No","No",NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"30","NM","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly oppose","No","No","(VOL) Don't know/Refused","No",NA,"No","No",NA,"Not employed",NA,"No",NA,"College graduate (B.S., B.A., or other 4-year degree)","(VOL) Don't know/Refused"
"65","CA","Pretty happy","Very important but not the most","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","One of the most important things",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","Yes","(VOL) Don't know/Refused",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"33","CA","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","Every few days","3",NA,"Very closely","(VOL) Don't know/Refused","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time",NA,"No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"32","IN","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Not important","Very important but not the most","One of the most important things","Yes","Several times a day",NA,NA,"Not too closely","Strongly oppose","Yes","No","No","No",NA,NA,"No",NA,"Not employed",NA,"No",NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"61","VA","Pretty happy","Somewhat important","Very important but not the most","Not important","One of the most important things","Somewhat important","Not important","Somewhat important","Very important but not the most","Yes","Several times a day",NA,NA,"Very closely","Oppose","Yes","No","No","Yes",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"64","NJ","Pretty happy","Not important","Very important but not the most","One of the most important things","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Very closely","Oppose","Yes","Yes","No","No",NA,"No","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"30","CT","Very happy","Not important","One of the most important things","Somewhat important","One of the most important things","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","Every few days","3",NA,"Very closely","Favor","Yes","Yes","No","No","Yes","Yes","Yes","2","Full-time","Lived with current spouse before married","No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"55","NC","Pretty happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","5",NA,"Fairly closely","Favor","Yes","No","Yes","No","Yes","No","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"50","OH","Not too happy","Not important","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","No",NA,NA,NA,"Not too closely","Strongly oppose","Yes","No","No","No",NA,NA,"No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"78","GA","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Very closely","Strongly oppose","No","No","Yes","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"73","GA","Not too happy","Not important","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","(VOL) Don't know/Refused",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"60","GA","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Yes","About once a day",NA,NA,"Very closely","Oppose","No","No","Yes","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"55","MI","Very happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Oppose","Yes","Yes","Yes",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"36","NY","Pretty happy","Very important but not the most","One of the most important things","(VOL) Don't know/Refused","One of the most important things","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","No",NA,NA,NA,"Very closely","Oppose","Yes","Yes","No","No",NA,"Yes","No",NA,"Not employed",NA,"No",NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Not covered by health insurance"
"35","PA","Pretty happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","Yes","Every few days","0",NA,"Very closely","(VOL) Don't know/Refused","Yes","No","Yes","No","Yes","Yes","No",NA,"Full-time",NA,"No",NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"46","FL","Very happy","Not important","Very important but not the most","One of the most important things","Very important but not the most","Somewhat important","Not important","Very important but not the most","(VOL) Don't know/Refused","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","Yes","Yes","No",NA,NA,"Yes","1","Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"68","IN","Pretty happy","Not important","One of the most important things","Not important","Not important","Somewhat important","Not important","Somewhat important","One of the most important things",NA,NA,NA,NA,"Very closely","Oppose","Yes","No","Yes",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"52","NC","Pretty happy","Not important","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Fairly closely","Oppose","Yes","Yes","Yes","No",NA,"No","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"43","PA","Pretty happy","Not important","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","Somewhat important","One of the most important things","Yes","Every few days",NA,NA,"Fairly closely","Oppose","Yes","No","No","No",NA,"No","No",NA,"Full-time","Lived with someone else",NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"38","VA","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Every few days","100",NA,"Very closely","Oppose","Yes","Yes","No","No","Yes","Yes","No",NA,"Full-time",NA,"No",NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"45","NJ","Pretty happy","Somewhat important","One of the most important things","Not important","One of the most important things","Very important but not the most","Not important","Somewhat important","One of the most important things","No",NA,"20",NA,"Fairly closely","Strongly favor","Yes","Yes","Yes","No","No","No","Yes","1","Full-time","Lived with current spouse before married",NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"67","NC","Very happy","Very important but not the most","Very important but not the most","One of the most important things","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important",NA,NA,NA,NA,"Not at all closely","Strongly oppose","Yes","No","Yes",NA,NA,NA,"No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"91","IN","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Favor","Yes","No","Yes",NA,NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"93","NY","Very happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","(VOL) Don't know/Refused","Not important","(VOL) Don't know/Refused","(VOL) Don't know/Refused",NA,NA,NA,NA,"(VOL) Don't know/Refused","Strongly oppose","No","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"40","NC","Pretty happy","Somewhat important","Very important but not the most","Somewhat important","Very important but not the most","Somewhat important","Not important","Somewhat important","One of the most important things","Yes","About once a day","12",NA,"Very closely","Oppose","No","Yes","Yes","No","Yes","Yes","Yes","1","Full-time","Lived with current spouse before married",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"73","VA","Very happy","Not important","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","One of the most important things","One of the most important things","Yes","Several times a day",NA,NA,"Very closely","Strongly oppose","No","No","Yes","No",NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"63","OH","Pretty happy","Very important but not the most","One of the most important things","Very important but not the most","(VOL) Don't know/Refused","Somewhat important","Not important","Somewhat important","Very important but not the most","No",NA,NA,NA,"Very closely","(VOL) Don't know/Refused","Yes","No","Yes","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"79","IN","Not too happy","Not important","Very important but not the most","One of the most important things","One of the most important things","Somewhat important","Not important","One of the most important things","Very important but not the most",NA,NA,NA,NA,"Fairly closely","Strongly oppose","No","No","Yes",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"69","PA","Not too happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Somewhat important","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","No","No","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"78","MA","Pretty happy","Very important but not the most","Somewhat important","Somewhat important","Very important but not the most","Somewhat important","Not important","Somewhat important","Somewhat important",NA,NA,NA,NA,"Fairly closely","Strongly oppose","Yes","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"23","WV","Not too happy","Very important but not the most","Very important but not the most","Not important","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","Yes","Several times a day","240",NA,"Very closely","Oppose","Yes","Yes","Yes","Yes","Yes","Yes","Yes","27","Full-time",NA,"No","Own","High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"80","NY","Pretty happy","Not important","Not important","(VOL) Don't know/Refused","(VOL) Don't know/Refused","Not important","Not important","Very important but not the most","One of the most important things",NA,NA,NA,NA,"Fairly closely","Favor","Yes","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"60","OH","Not too happy","Somewhat important","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","Not important",NA,NA,NA,NA,"Very closely","Oppose","No","No","No",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"70","VA","Pretty happy","Somewhat important","Very important but not the most","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Fairly closely","Oppose","No","No","Yes","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"57","IL","Pretty happy","Not important","Somewhat important","Not important","One of the most important things","Somewhat important","Not important","Somewhat important","Somewhat important","No",NA,"0",NA,"Very closely","(VOL) Don't know/Refused","Yes","No","No","No","No","No","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"44","FL","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Somewhat important","Not important","Somewhat important","Very important but not the most","No",NA,"2",NA,"Fairly closely","(VOL) Don't know/Refused","Yes","No","No","No","Yes","Yes","Yes","1","Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"76","WI","Pretty happy","Not important","One of the most important things","One of the most important things","One of the most important things","Not important","Not important","One of the most important things","Very important but not the most","No",NA,NA,NA,"Fairly closely","(VOL) Don't know/Refused","Yes","Yes","No","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"80","ND","Pretty happy","Somewhat important","One of the most important things","Very important but not the most","Very important but not the most","Somewhat important","Not important","Somewhat important","Somewhat important",NA,NA,NA,NA,"Fairly closely","Oppose","No","No","No",NA,NA,"No","No",NA,"Part-time",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"60","KY","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,"0",NA,"Fairly closely","Oppose","Yes","Yes","Yes","No","No","Yes","No",NA,"Not employed",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"67","TX","Pretty happy","Not important","Very important but not the most","Somewhat important","Very important but not the most","Not important","Not important","Very important but not the most","Somewhat important","No",NA,"5",NA,"Very closely","Strongly favor","Yes","No","No","No","No","Yes","No",NA,"Not employed","Lived with current spouse before married",NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"63","MN","(VOL) Don't know/Refused","Somewhat important","One of the most important things","(VOL) Don't know/Refused","Very important but not the most","Very important but not the most","Not important","Very important but not the most","(VOL) Don't know/Refused",NA,NA,NA,NA,"Fairly closely","Oppose","No","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"54","OH","Very happy","Somewhat important","Very important but not the most","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","(VOL) Don't know/Refused","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","Yes","Yes","No",NA,"No","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"20","AL","Pretty happy","Somewhat important","One of the most important things","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","Several times a day","75",NA,"Very closely","Oppose","Yes","No","Yes","Yes","Yes","Yes","No",NA,"Part-time",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"63","FL","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","One of the most important things","Somewhat important","No",NA,NA,NA,"Very closely","Strongly oppose","Yes","Yes","Yes","No",NA,"No","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"80","LA","Pretty happy","Not important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Fairly closely","Oppose","Yes","No","No",NA,NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"VOL DON'T KNOW/REFUSED","NY","Pretty happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","Somewhat important","Somewhat important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Very closely","(VOL) Don't know/Refused","Yes","No","No","No",NA,"Yes","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"58","FL","Not too happy","Not important","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","Somewhat important","Yes","Once a week","0",NA,"Very closely","Strongly favor","Yes","No","No","No","No","No","No",NA,"Full-time","Lived with current spouse before married",NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"84","VA","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Oppose","No","No","No",NA,NA,NA,"No",NA,"Part-time",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"49","OK","Very happy","Somewhat important","Very important but not the most","One of the most important things","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most","Yes","Less often","1",NA,"Fairly closely","Strongly oppose","No","No","Yes","No","No","No","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"54","TX","Pretty happy","Not important","Not important","Very important but not the most","Very important but not the most","Somewhat important","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Strongly oppose","No","No","Yes",NA,NA,"No","No",NA,"Full-time",NA,NA,NA,"High school incomplete (Grades 9-11)","Not covered by health insurance"
"73","IL","(VOL) Don't know/Refused","Not important","One of the most important things","Not important","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Favor","Yes","No","No",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"49","RI","Pretty happy","Very important but not the most","Not important","Not important","Very important but not the most","Somewhat important","Somewhat important","Somewhat important","Not important","No",NA,NA,NA,"Very closely","Favor","Yes","No","No","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"48","NY","Pretty happy","Somewhat important","Very important but not the most","Very important but not the most","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,"0",NA,"Fairly closely","Favor","Yes","Yes","No","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"21","MN","Not too happy","Very important but not the most","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","Very important but not the most","Very important but not the most","No",NA,"50",NA,"Very closely","Oppose","Yes","Yes","No","No","Yes","Yes","Yes","2","Full-time",NA,"No","Rent","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"81","TX","Not too happy","Somewhat important","Somewhat important","Somewhat important","One of the most important things","Somewhat important","Not important","Somewhat important","Somewhat important","No",NA,NA,NA,"Fairly closely","Strongly oppose","No","No","No","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"21","FL","Pretty happy","Somewhat important","One of the most important things","Somewhat important","One of the most important things","Somewhat important","Not important","One of the most important things","One of the most important things","Yes","Several times a day","150",NA,"Not too closely","Favor","Yes","No","No","Yes","Yes","Yes","No",NA,"Part-time",NA,"Yes","Live with parents","Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"79","FL","Not too happy","Very important but not the most","One of the most important things","Not important","One of the most important things","Not important","Not important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Very closely","Strongly oppose","No","No","No","No",NA,NA,"No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"41","TN","Pretty happy","Very important but not the most","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things","No",NA,"0",NA,"Very closely","Strongly oppose","Yes","No","Yes","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Not covered by health insurance"
"77","WI","Very happy","Very important but not the most","One of the most important things","Very important but not the most","One of the most important things","Very important but not the most","Not important","Very important but not the most","One of the most important things","No",NA,NA,NA,"Very closely","Oppose","Yes","No","No","No",NA,NA,"No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"65","TX","Very happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","One of the most important things","Not important","One of the most important things","One of the most important things",NA,NA,NA,NA,"Very closely","Strongly oppose","No","No","Yes",NA,NA,"Yes","No",NA,"Part-time",NA,NA,NA,"High school incomplete (Grades 9-11)","Not covered by health insurance"
"69","TN","Pretty happy","Somewhat important","One of the most important things","One of the most important things","One of the most important things","Somewhat important","Not important","One of the most important things","One of the most important things","Yes","Less often","12",NA,"Very closely","Strongly oppose","Yes","Yes","No","No","Yes","Yes","No",NA,"Not employed",NA,NA,NA,"High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"80","AL","Not too happy","Somewhat important","One of the most important things","One of the most important things","Very important but not the most","Not important","Not important","One of the most important things","Very important but not the most","No",NA,NA,NA,"Very closely","Strongly oppose","No","No","No","No",NA,"Yes","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"50","AK","Pretty happy","Not important","Very important but not the most","Somewhat important","One of the most important things","Somewhat important","Not important","Somewhat important","Somewhat important","Yes","About once a day","5",NA,"Fairly closely","Oppose","Yes","Yes","No","No","No","Yes","No",NA,"Part-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"65","IL","Pretty happy","Very important but not the most","Very important but not the most","One of the most important things","(VOL) Don't know/Refused","Very important but not the most","Not important","Very important but not the most","Very important but not the most","No",NA,NA,NA,"Fairly closely","Oppose","Yes","No","Yes","No",NA,"No","No",NA,"Full-time",NA,NA,NA,"Post-graduate training or professional schooling after college (e.g., toward a master's Degree or Ph.D., law or medical ","Covered by health insurance"
"52","MO","Not too happy","Very important but not the most","Not important","Not important","Not important","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Very closely","Oppose","Yes","No","Yes",NA,NA,"No","No",NA,"Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"31","AR","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important","Yes","Every few days","4",NA,"Not too closely","Oppose","No","No","Yes","No","Yes","Yes","No",NA,"Full-time",NA,"No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"18","TX","Pretty happy","Somewhat important","Not important","Somewhat important","One of the most important things","One of the most important things","Not important","Very important but not the most","Very important but not the most",NA,NA,NA,NA,"Not too closely","Strongly oppose","No","No","No",NA,NA,NA,"No",NA,"Not employed",NA,"Yes","Live with parents","High school incomplete (Grades 9-11)","Not covered by health insurance"
"70","IL","Pretty happy","Very important but not the most","Very important but not the most","Very important but not the most","One of the most important things","Very important but not the most","Not important","One of the most important things","Somewhat important","No",NA,NA,NA,"Very closely","Favor","Yes","No","No","No",NA,"No","No",NA,"Not employed",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"21","IA","Pretty happy","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Somewhat important","Not important","One of the most important things","Very important but not the most","Yes","Once a week","500",NA,"Not too closely","Favor","Yes","Yes","No","No","Yes","Yes","No",NA,"Part-time",NA,"No","Live with parents","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"69","WI","Very happy","(VOL) Don't know/Refused","Not important","Very important but not the most","One of the most important things","Not important","Not important","One of the most important things","Not important",NA,NA,NA,NA,"Very closely","Strongly oppose","Yes","No","No",NA,NA,"Yes","No",NA,"Not employed",NA,NA,NA,"High school incomplete (Grades 9-11)","Covered by health insurance"
"61","NE","Pretty happy","Very important but not the most","Somewhat important","Not important","Very important but not the most","Somewhat important","Not important","Very important but not the most","Not important","Yes","About once a day","2",NA,"Very closely","Strongly favor","Yes","No","Yes","No","No","Yes","No",NA,"Full-time",NA,NA,NA,"Some college, no 4-year degree (including associate degree)","Covered by health insurance"
"20","UT","Very happy","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Very important but not the most","Not important","Very important but not the most","Very important but not the most",NA,NA,"100",NA,"Very closely","Oppose","No","Yes","Yes",NA,"No","Yes","No",NA,"(VOL) Don't know/Refused","Lived with current spouse before married","No","Rent","High school graduate (Grade 12 or GED certificate)","Covered by health insurance"
"37","UT","Very happy","Not important","One of the most important things","One of the most important things","One of the most important things","Very important but not the most","Not important","One of the most important things","Very important but not the most","No",NA,NA,NA,"Very closely","Oppose","No","No","Yes","No",NA,"Yes","No",NA,"Not employed",NA,"No",NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
"40","CO","Pretty happy","Very important but not the most","Very important but not the most","Not important","One of the most important things","Very important but not the most","Not important","Very important but not the most","Very important but not the most","Yes","Once a week","2",NA,"Not too closely","Oppose","No","Yes","Yes","No","Yes","No","Yes","1","Full-time",NA,NA,NA,"College graduate (B.S., B.A., or other 4-year degree)","Covered by health insurance"
